Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor
2024-07-03,South America,Brazil,Rhodes Inc,67151,29,In Transit,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High
2024-01-24,Oceania,Australia,"Knox, Anderson and Curry",20866,10,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low
2024-02-18,Asia,Australia,Ballard Ltd,72379,25,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-10-05,Europe,South Africa,Hoffman-Nguyen,71021,22,Delayed,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,High
2025-01-13,South America,USA,"Sanchez, Benton and Perez",57315,13,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-03-23,South America,India,Davis-Ford,94516,20,Delayed,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High
2024-05-19,North America,Germany,Grimes-Collins,48909,1,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low
2024-03-07,North America,Brazil,"Parker, Johnson and Atkinson",87334,8,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-08-11,Europe,Germany,Norton-Mack,91944,11,Delayed,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-12-06,South America,South Africa,"Elliott, Richardson and Estes",65675,8,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Low
2024-06-30,Africa,Brazil,Walker and Sons,73432,13,Delayed,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-01-28,South America,USA,"Davis, Conway and Strickland",20680,30,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-05-04,Europe,India,Garcia-Garza,69219,30,Delayed,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-06-24,Europe,Germany,Smith-Benton,75683,12,In Transit,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-03-24,Oceania,Germany,Williams-Conner,63878,25,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,High
2024-12-16,North America,India,"Porter, Smith and Jenkins",39440,19,Delayed,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-09-12,Oceania,India,Neal-Baker,99465,24,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-11-23,Europe,Germany,"Turner, Bishop and Smith",13420,13,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-06-18,Asia,USA,Shaw and Sons,52690,19,Delayed,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High
2024-04-14,Europe,Canada,Hill LLC,39295,15,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-10-10,Africa,Germany,"Ferguson, George and Bowman",80668,4,Delayed,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-12-08,North America,Brazil,Gutierrez-Colon,10409,25,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-09-05,Africa,USA,Nguyen-Silva,33451,21,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,High
2024-11-14,North America,Germany,Watson-Grant,41383,21,Delayed,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,High
2024-09-14,Africa,India,Chen LLC,65704,24,Delayed,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,High
2024-06-09,South America,Germany,Dodson Group,23390,15,In Transit,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Medium
2024-07-17,Oceania,India,Ramos Ltd,28140,29,In Transit,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-09-20,North America,Australia,Evans PLC,71579,5,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Low
2024-05-19,Europe,USA,Williamson-Santos,48749,1,In Transit,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High
2024-08-06,Europe,India,Smith LLC,65169,11,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-10-27,Africa,Australia,Anderson-Huff,42515,30,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-07-18,Asia,China,"Terry, Anderson and Griffin",15855,9,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-04-02,North America,USA,"Cooper, Thompson and Simpson",31510,8,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
2024-12-14,South America,Germany,Smith PLC,32259,29,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-11-05,South America,Canada,"Sutton, Ellison and Cook",38499,29,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,High
2024-10-13,South America,Germany,Knight-Finley,46717,23,In Transit,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-02-14,Europe,South Africa,Bryan LLC,15977,20,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,Medium
2024-08-06,North America,Germany,Gonzalez and Sons,8074,8,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Low
2024-10-31,Africa,Australia,Mcdowell-Hernandez,18871,22,In Transit,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High
2024-05-12,Europe,India,"Perez, Hanson and Gordon",73794,14,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,Medium
2024-09-29,South America,China,Hall Ltd,65446,17,In Transit,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,Medium
2024-04-04,North America,Australia,"Long, Diaz and Jones",50764,20,In Transit,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium
2024-08-06,North America,Brazil,"Schultz, Davis and Chase",56176,3,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Low
2024-05-05,Europe,Brazil,"Cortez, Herman and Cooper",84059,23,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High
2024-02-25,Oceania,Germany,Meyer-Romero,93234,21,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-11-17,Europe,Australia,Jefferson-Parker,97473,8,Delayed,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High
2025-01-11,Europe,Germany,Carey-Washington,82322,19,Delayed,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-08-27,South America,Germany,"Richardson, Peterson and Miller",6792,11,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-05-21,Africa,Brazil,"Davis, Cole and Jones",66819,22,Delayed,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-09-30,Europe,China,Todd LLC,69137,11,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,Medium
2024-03-24,Europe,Australia,Gibson-Brown,41430,16,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-08-28,Africa,India,"Keller, Brown and Vasquez",82459,3,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-08-03,Africa,China,"Davis, Gillespie and Andersen",76455,28,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High
2025-01-03,Oceania,South Africa,Mills Ltd,82319,10,In Transit,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium
2024-06-20,North America,India,"Pruitt, Johnson and Pace",53082,23,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-05-12,Asia,Brazil,"Woods, Bass and Melendez",2107,3,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-04-19,Oceania,Brazil,Marshall and Sons,86975,9,In Transit,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Low
2024-08-10,Asia,China,Frey-Thomas,90771,10,Delayed,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,High
2024-04-03,Europe,South Africa,"Howe, Herrera and Johnson",42329,5,Delayed,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-07-08,Africa,India,Jones and Sons,72271,27,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-04-23,North America,USA,Douglas-Jacobson,68014,27,Delayed,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,High
2024-03-13,Asia,China,Lawson-Frazier,86410,15,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-09-29,Oceania,India,"Humphrey, Salazar and Randall",69448,28,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-04-28,Oceania,USA,"Allen, Hernandez and Ford",94991,5,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Low
2024-12-18,Asia,Australia,"Sullivan, Vazquez and Banks",18078,10,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-06-19,Africa,Canada,"Peters, Houston and Holmes",63497,20,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-06-18,Oceania,Germany,Harper Ltd,88705,7,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-07-21,Europe,Brazil,Lowery-Chavez,7069,26,In Transit,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-08-02,North America,Canada,"Christensen, Lopez and Lewis",18468,5,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Low
2024-11-08,North America,Australia,Atkinson Ltd,9466,14,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Medium
2024-12-05,North America,Brazil,"Robinson, Anderson and Suarez",43649,11,Delayed,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-06-09,Asia,Australia,Carson-Rojas,93398,23,In Transit,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High
2024-09-30,Africa,Brazil,Mitchell-Nguyen,75322,14,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-06-20,North America,Brazil,Holloway-Pace,42050,8,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-07-23,South America,Germany,George Inc,51309,13,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-11-20,Oceania,South Africa,"Jackson, Delgado and Park",97087,29,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-10-04,Asia,China,Miller-Guerrero,54067,26,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-04-12,Africa,Australia,"Daniels, Marshall and Mahoney",65236,19,In Transit,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,Medium
2024-12-20,North America,Australia,Miller-Thompson,61821,4,In Transit,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Low
2024-06-14,Oceania,China,"Trujillo, Knight and Wall",21683,25,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-04-11,Europe,Australia,Burke Ltd,90541,3,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-12-13,Europe,Canada,Berry-Perez,73037,11,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium
2024-11-04,Europe,USA,Waller-Rodriguez,44897,16,In Transit,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,Medium
2024-07-03,Africa,South Africa,Carter PLC,40283,29,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High
2024-05-28,Oceania,USA,Vasquez-Horne,28977,7,In Transit,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Low
2024-09-24,Oceania,Germany,Rios Inc,64164,12,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,Medium
2024-10-16,Europe,Canada,Santiago-Jones,80874,20,Delayed,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High
2024-07-03,Oceania,USA,Gonzales LLC,41225,26,Delayed,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,High
2024-08-09,North America,Australia,Greene LLC,23725,16,Delayed,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High
2024-03-18,Asia,USA,"Walker, Morales and King",4442,3,In Transit,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-11-29,Oceania,South Africa,Bradley PLC,30896,2,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-12-23,Asia,South Africa,Martinez-Sullivan,92349,15,In Transit,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,Medium
2024-12-30,Oceania,Canada,"Garcia, Smith and Mcdonald",80344,17,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,Medium
2024-12-27,Asia,China,Haney-Johnston,39997,3,Delayed,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High
2024-04-19,Africa,Canada,Tapia PLC,44396,14,Delayed,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-03-24,Oceania,China,Andersen-Hernandez,94316,27,Delayed,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-03-11,Africa,Brazil,Hayes-Johnson,31981,6,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-03-10,Oceania,Germany,Quinn PLC,38182,30,In Transit,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,High
2024-03-04,South America,South Africa,Webster PLC,30122,22,In Transit,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-10-16,Africa,Canada,Torres Inc,11825,20,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Medium
2024-09-01,Oceania,Germany,Brooks Group,23369,23,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High
2024-10-20,North America,Australia,"Murray, Scott and Williams",63780,9,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,Low
2024-03-13,Asia,Canada,Oliver-Wood,92701,6,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,Medium
2024-07-09,Europe,China,Fisher-Rodriguez,47974,23,Delayed,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,High
2024-03-08,South America,China,Jones-Larson,95312,26,Delayed,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,High
2024-12-30,North America,South Africa,"Bruce, Brown and Sanchez",33348,12,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Medium
2024-08-17,Africa,USA,Smith and Sons,26880,3,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-03-18,Asia,India,Garcia-Henderson,66424,18,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-12-27,North America,China,"Marsh, Perry and Rivera",72739,28,In Transit,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,High
2024-10-10,Asia,Canada,"Crosby, Hamilton and Phillips",2569,9,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,Medium
2024-12-05,South America,South Africa,"Harris, Bishop and Mullins",18685,3,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-07-29,Africa,China,"Hall, Gomez and Hubbard",36805,9,Delayed,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High
2024-02-23,Europe,USA,Howard-Davis,47449,13,Delayed,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-03-08,Asia,Australia,"Nelson, Smith and Jones",34095,17,Delayed,Labor shortages affect harvesting in rural areas.,Strong winds causing crop damage,High
2024-04-01,Europe,Germany,Quinn-Rollins,92146,16,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Medium
2024-08-08,Asia,South Africa,Gilbert-Wagner,60293,1,Delayed,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High
2024-12-13,South America,Australia,Stephens Ltd,52357,7,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,Low
2024-04-27,Asia,Canada,Johnston-Turner,64210,6,In Transit,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,Medium
2024-07-08,North America,China,Stafford PLC,56326,4,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,Medium
2024-09-15,Asia,Australia,"Stevens, Hoffman and Marshall",37833,1,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-02-11,North America,China,"Robinson, Payne and Castro",41036,2,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low
2024-09-20,South America,Australia,"Mitchell, Thompson and Nelson",28620,17,Delayed,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High
2024-03-23,South America,Australia,"Davis, Peterson and Smith",49024,13,Delayed,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,High
2024-08-31,Oceania,Germany,"Brown, Wheeler and Stanley",5866,30,Delayed,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High
2024-12-03,North America,Germany,Wright-Norman,63186,20,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-11-11,North America,South Africa,Price Group,62642,21,Delayed,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,High
2024-02-01,North America,China,"Vargas, Newton and Schmidt",26040,26,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-07-20,Europe,China,Mcguire Group,37655,25,Delayed,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
2024-04-27,Asia,Australia,"King, Morgan and Woods",43347,12,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-07-25,South America,USA,"Dickerson, Martin and Chen",72660,29,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High
2024-02-24,Europe,India,Gonzales-Morrison,39619,9,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low
2024-11-14,Africa,South Africa,"Jackson, Thomas and Davila",82197,22,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-09-12,Asia,India,Estrada Inc,3081,14,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Medium
2024-12-01,Africa,South Africa,"Russo, Anderson and Alvarado",74953,15,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-12-16,Oceania,Germany,Arnold Ltd,83501,8,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Low
2024-07-16,Asia,Australia,Edwards PLC,55591,10,Delayed,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,High
2024-08-22,Asia,Australia,"Aguilar, Johnson and Brady",91992,5,Delayed,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,High
2024-03-09,Asia,Brazil,"Valenzuela, Lopez and Moran",65519,12,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Medium
2024-05-23,South America,South Africa,Oconnell-Andrews,29814,4,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High
2024-10-27,Africa,Canada,"Jones, Barajas and Welch",20246,23,Delayed,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,High
2024-08-22,Asia,India,Evans-Murphy,72927,28,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,High
2024-10-10,Oceania,Canada,Jackson LLC,20552,9,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,Medium
2024-07-12,North America,Germany,Fisher Ltd,33274,12,Delayed,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High
2024-04-09,Africa,Brazil,Jones-Williams,25875,8,Delayed,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-11-25,Africa,Brazil,Allen Ltd,69815,5,In Transit,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-06-26,South America,South Africa,"Hines, Castillo and Hernandez",64883,14,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-07-05,Oceania,India,"Lang, Nelson and Valdez",25891,5,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-05-24,Africa,South Africa,"Richards, Montoya and Zavala",24426,20,Delayed,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,High
2024-09-06,North America,South Africa,Mata-Pierce,96488,3,In Transit,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High
2024-06-08,Africa,South Africa,Lewis PLC,38827,21,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2024-06-17,Europe,China,Parrish-Coleman,93444,19,In Transit,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Medium
2025-01-16,Europe,Australia,Bailey PLC,83408,16,Delayed,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-12-18,North America,USA,"Zavala, Gutierrez and Clark",72492,24,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-06-18,Asia,USA,Perkins-Rich,57544,24,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High
2024-10-26,Oceania,Germany,Fuller Group,36274,11,Delayed,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,High
2024-12-14,North America,India,"Clements, Johnson and Gonzalez",98420,19,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Drought leading to crop failure,Medium
2024-10-05,South America,Australia,Nelson-Young,12854,7,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Low
2024-07-13,Oceania,South Africa,Mitchell and Sons,28830,27,In Transit,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-12-11,Oceania,USA,Boyle-Carr,65488,22,Delayed,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High
2024-09-23,North America,Canada,Robinson Inc,82388,25,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-11-28,South America,India,"Taylor, Montoya and Smith",71168,9,In Transit,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium
2024-12-20,Europe,India,Ramsey Group,13425,7,In Transit,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Low
2024-12-03,South America,USA,Williamson-Colon,81668,28,In Transit,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High
2025-01-02,Africa,China,Martin Ltd,11433,21,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High
2024-11-18,Africa,Germany,Shepherd Group,48254,18,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2025-01-04,Oceania,China,Wolfe Ltd,93396,11,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Medium
2024-05-18,North America,Germany,"Spears, Morris and Collins",35844,30,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,High
2025-01-06,Asia,India,"Jackson, Jones and Patterson",38491,8,Delayed,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High
2024-10-12,South America,Canada,"Larsen, Byrd and Sparks",79308,10,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium
2024-09-05,Europe,Australia,Marsh-Weaver,37093,15,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,High humidity increasing pest risks,Medium
2024-11-10,Europe,India,Grant-Smith,91026,13,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium
2024-05-08,Europe,Brazil,"Gross, Carpenter and Johnson",92247,9,Delayed,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High
2024-04-08,Oceania,South Africa,Osborn LLC,10628,6,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Low
2024-03-26,North America,Brazil,"Pena, Blair and Lewis",86439,18,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High
2024-03-22,Asia,Canada,Wilkins and Sons,95924,12,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Medium
2024-07-16,Europe,South Africa,Marks-Nelson,58186,17,Delayed,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-06-13,North America,India,Gilmore PLC,21976,8,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Drought leading to crop failure,Medium
2024-10-24,North America,South Africa,"Mcgee, Jackson and Davidson",10224,26,Delayed,Government announces subsidies for tomato farmers.,Heavy rainfall causing waterlogging,High
2024-07-29,Asia,Australia,"Roberts, Wilson and Bird",17730,16,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Drought leading to crop failure,Medium
2024-03-26,Africa,USA,"Anderson, Long and Barber",69392,28,Delayed,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High
2024-08-30,Africa,USA,Savage-Tran,94022,16,In Transit,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,Medium
2024-10-19,South America,India,"Maddox, Lopez and Owens",86964,14,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Drought leading to crop failure,Medium
2025-01-05,North America,Canada,Sanchez-Walter,25060,9,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Low
2024-08-17,North America,Australia,"Miller, Smith and Chapman",10803,21,In Transit,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,High
2024-01-27,Africa,Brazil,Thompson-Montes,1607,23,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High
2024-09-27,Europe,Germany,Kelly Group,96137,26,Delayed,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High
2024-07-23,Asia,China,Howe LLC,43464,6,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Low
2024-04-26,Europe,Germany,Merritt-Williams,23274,10,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low
2024-09-07,South America,China,"Gomez, Hernandez and Ortiz",5328,19,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Unexpected frost damaging crops,Medium
2024-09-27,Asia,China,"Fisher, Austin and Wiley",51324,14,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-03-31,Africa,Brazil,"Harrington, Harris and Pittman",96928,5,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,Low
2024-10-21,Oceania,China,Alvarez LLC,74366,2,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Strong winds causing crop damage,High
